Name,Variant,Procedure,Appropriateness Category,Relative Radiation Level,Comment
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,CTA abdomen and pelvis with IV contrast,Usually Appropriate,4,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,MRA abdomen and pelvis without and with IV contrast,Usually Appropriate,0,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,MRA abdomen and pelvis without IV contrast,May Be Appropriate,0,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,CT abdomen and pelvis with IV contrast,May Be Appropriate,3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,CT abdomen and pelvis without IV contrast,May Be Appropriate,3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,Aortography abdomen,May Be Appropriate,3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,CT abdomen and pelvis without and with IV contrast,May Be Appropriate,4,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,US aorta abdomen with duplex Doppler,Usually Not Appropriate,0,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,X-ray abdomen and pelvis,Usually Not Appropriate,3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Planning for pre-endovascular repair (EVAR) or open repair of AAA,CT abdomen and pelvis without IV contrast and US aorta abdomen with duplex Doppler,Usually Not Appropriate,3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,CTA abdomen and pelvis with IV contrast,Usually Appropriate,4,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,MRA abdomen and pelvis without and with IV contrast,Usually Appropriate,0,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,Aortography abdomen,May Be Appropriate,3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,CT abdomen and pelvis without and with IV contrast,May Be Appropriate,4,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,CT abdomen and pelvis without IV contrast and US aorta abdomen with duplex Doppler,May Be Appropriate,3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,MRA abdomen and pelvis without IV contrast,May Be Appropriate,0,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,US aorta abdomen with duplex Doppler,May Be Appropriate,0,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,CT abdomen and pelvis without IV contrast,May Be Appropriate,3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,CT abdomen and pelvis with IV contrast,May Be Appropriate (Disagreement),3,
Abdominal Aortic Aneurysm or Dissection Interventional Planning and Follow-up,Follow-up for postendovascular repair (EVAR) or open repair of AAA,X-ray abdomen and pelvis,May Be Appropriate,3,
Central Venous Access Device and Site Selection,"Device selection: Acutely ill patient requiring infusion of an irritant medication, or hemodynamic monitoring, or frequent blood draws for 2 weeks or shorter",Nontunneled central venous catheter,Usually Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Acutely ill patient requiring infusion of an irritant medication, or hemodynamic monitoring, or frequent blood draws for 2 weeks or shorter",PICC,Usually Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Acutely ill patient requiring infusion of an irritant medication, or hemodynamic monitoring, or frequent blood draws for 2 weeks or shorter",Midline catheter,May Be Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Acutely ill patient requiring infusion of an irritant medication, or hemodynamic monitoring, or frequent blood draws for 2 weeks or shorter",Tunneled central venous catheter,May Be Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Acutely ill patient requiring infusion of an irritant medication, or hemodynamic monitoring, or frequent blood draws for 2 weeks or shorter",Arm port,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Acutely ill patient requiring infusion of an irritant medication, or hemodynamic monitoring, or frequent blood draws for 2 weeks or shorter",Chest port,Usually Not Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with acute renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for 2 weeks or shorter",Nontunneled dialysis catheter,Usually Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with acute renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for 2 weeks or shorter",Tunneled dialysis catheter,Usually Appropriate,,
Central Venous Access Device and Site Selection,"Device selection: Patient with acute renal failure requiring central venous access for renal replacement therapy, anticipated duration of therapy for 2 weeks or shorter",Arm port,Usually Not Appropriate,,
